============================================ 
Aurexis Core GitHub Backup 
FINALIZED V1 Substrate Candidate (freeze/release polish) — 51 bridges 
Tue 04/14/2026  9:03:48.62 
============================================ 
Git repo found, updating... 
warning: in the working copy of '00_PROJECT_CORE/RELEASE_NOTES_V1_SUBSTRATE_CANDIDATE.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '00_PROJECT_CORE/ROADMAP.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '00_PROJECT_CORE/ROLLING_SHUTTER_TEMPORAL_TRANSPORT_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '00_PROJECT_CORE/SHEAF_STYLE_COMPOSITION_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '00_PROJECT_CORE/SUBSTRATE_AUDIT_FOR_CHATGPT.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '00_PROJECT_CORE/TEMPORAL_BRANCH_CAPSTONE_V1.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '00_PROJECT_CORE/TEMPORAL_CONSISTENCY_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '00_PROJECT_CORE/TEMPORAL_GLOBAL_CONSISTENCY_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '00_PROJECT_CORE/TEMPORAL_PAYLOAD_CONTRACT_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '00_PROJECT_CORE/TEMPORAL_PAYLOAD_SIGNATURE_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '00_PROJECT_CORE/TEMPORAL_PAYLOAD_SIGNATURE_MATCH_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '00_PROJECT_CORE/TEMPORAL_TRANSPORT_DISPATCH_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '00_PROJECT_CORE/THIRD_PARTY_LICENSE_NOTES_V1.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '00_PROJECT_CORE/UNIFIED_CAPABILITY_MANIFEST_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '00_PROJECT_CORE/UNIFIED_CAPABILITY_MANIFEST_V1.json', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '00_PROJECT_CORE/UNIFIED_CAPABILITY_MANIFEST_V1.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '00_PROJECT_CORE/UNIFIED_SUBSTRATE_ENTRYPOINT_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '00_PROJECT_CORE/V1_SUBSTRATE_RELEASE_AUDIT_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '00_PROJECT_CORE/V1_SUBSTRATE_RELEASE_AUDIT_CAPSTONE.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '00_PROJECT_CORE/WHAT_AUREXIS_IS.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '01_RELEASES/LEGACY_V81ISH/LEGACY_NOTES.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '01_RELEASES/RELEASE_HISTORY.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '01_RELEASES/V85/RELEASE_NOTES_V85.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '01_RELEASES/V86/RELEASE_NOTES_V86.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '02_GATE_TRACKING/GATE_1/GATE_1_STATUS.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '02_GATE_TRACKING/GATE_2/GATE_2_STATUS.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '02_GATE_TRACKING/GATE_3/GATE_3_STATUS.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '02_GATE_TRACKING/GATE_4/GATE_4_STATUS.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '02_GATE_TRACKING/GATE_5/GATE_5_STATUS.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '03_HANDOFFS_AND_CONTEXT/AUREXIS_CORE_OLLAMA_QWEN30B_HANDOFF_V80.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '03_HANDOFFS_AND_CONTEXT/ChatGPT-Aurexis ONLY.json', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '03_HANDOFFS_AND_CONTEXT/ChatGPT-JSON Continuation and Analysis.json', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '03_HANDOFFS_AND_CONTEXT/ChatGPT-Project Continuation Setup.json', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '03_HANDOFFS_AND_CONTEXT/HANDOFF_INDEX.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '04_WORKING_SESSIONS/SESSION_LOG.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/HOW_TO_USE_THIS.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/CALIBRATION_RECOMMENDATION_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/CAPTURE_SESSION_MANIFEST_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/CLEANUP_RETRIEVAL_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/DELTA_READY_HANDOFF_SURFACE_V1.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/DRY_RUN_EVIDENCE_REPORT_SURFACE_V1.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/EVIDENCE_DELTA_ANALYSIS_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/FINAL_CANDIDATE_FREEZE_CAPSTONE_V1.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/FINAL_CANDIDATE_PACKAGE_MAP_V1.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/FINAL_V1_CANDIDATE_HANDOFF_CAPSTONE.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/FIXTURES_AUTHORED_CAPTURE_SESSION_PACK_V1.json', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/HYPERVECTOR_BINDING_BUNDLING_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/INTAKE_TO_DELTA_REPLAY_HARNESS_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/MOMENT_INVARIANT_IDENTITY_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/OBSERVED_EVIDENCE_LOOP_CAPSTONE_V1.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/OBSERVED_EVIDENCE_REPLAY_CAPSTONE_V1.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/REAL_CAPTURE_INGEST_PROFILE_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/REAL_CAPTURE_INTAKE_PACK_V1.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/REAL_CAPTURE_INTAKE_PREFLIGHT_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/REAL_CAPTURE_SESSION_TEMPLATE_V1.json', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/REAL_CAPTURE_SESSION_TEMPLATE_V1.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/REAL_CAPTURE_USER_HANDOFF_CAPSTONE_V1.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/REPLAY_OUTCOME_CONTRACT_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/VIEW_DEPENDENT_BRANCH_CAPSTONE_V1.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/VIEW_DEPENDENT_CONTRACT_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/VIEW_DEPENDENT_MARKER_PROFILE_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/VIEW_FACET_RECOVERY_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/VSA_CLEANUP_BRANCH_CAPSTONE_V1.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/VSA_CLEANUP_PROFILE_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/VSA_CONSISTENCY_CONTRACT_BRIDGE_V1_GATE_VERIFICATION.md', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/run_pytest_surface.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/run_v1_calibration_recommendation_tests.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/run_v1_capture_session_manifest_tests.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/run_v1_cleanup_retrieval_tests.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/run_v1_cross_branch_compatibility_tests.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/run_v1_evidence_delta_analysis_tests.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/run_v1_hypervector_binding_bundling_tests.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/run_v1_intake_to_delta_replay_tests.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/run_v1_moment_invariant_identity_tests.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/run_v1_real_capture_ingest_profile_tests.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/run_v1_real_capture_intake_preflight_tests.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/run_v1_release_audit_tests.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/run_v1_replay_outcome_contract_tests.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/run_v1_unified_capability_manifest_tests.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/run_v1_unified_substrate_entrypoint_tests.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/run_v1_view_dependent_contract_tests.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/run_v1_view_dependent_marker_profile_tests.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/run_v1_view_facet_recovery_tests.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/run_v1_vsa_cleanup_profile_tests.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/run_v1_vsa_consistency_contract_tests.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/__init__.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/advanced_cv_extractor.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/ambiguity.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/artifact_dispatch_bridge_v1.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/artifact_localization_bridge_v1.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/artifact_set_contract_bridge_v1.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/authored_capture_fixtures_v1.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/branch_state_execution.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/calibration_recommendation_bridge_v1.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/camera_bridge.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/camera_bridge_stub.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/camera_primitive_extractor.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/capture_session_manifest_bridge_v1.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/capture_tolerance_bridge_v1.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/cleanup_retrieval_bridge_v1.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/cohomological_obstruction_bridge_v1.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/combined_temporal_fusion_bridge_v1.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/complementary_color_temporal_transport_bridge_v1.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/composed_recovery_bridge_v1.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/composition_v1.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/confidence_parser.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/control_flow_state_machine.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/control_resolution.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/core_law_enforcer.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/cross_branch_compatibility_contract_bridge_v1.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/cross_device_validator.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/cv_primitive_extractor.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/cv_segmentation_quality.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/cv_segmentation_upgrade.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/demo_pipeline.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/enhanced_cv_extractor.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/evaluation_loop_scaffold.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/evidence_batch_processor.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/evidence_delta_analysis_bridge_v1.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/evidence_tiers.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/executable_promotion.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/execution_interpretation.py', LF will be replaced by CRLF the next time Git touches it
warning: in the working copy of '05_ACTIVE_DEV/aurexis_lang/src/aurexis_lang/execution_resolution.py', LF will be replaced by CRLF the next time Git touches it
